Titleofevent,artist,date,fb,geners,linkofstream,poster
Album Release Live Stream,The Two Tracks,"Aug 14th, 2020",https://www.facebook.com/thetwotracks,"Americana, Rock, Folk, Country, Bluegrass",Facebook,https://photos.bandsintown.com/thumb/8901612.jpeg
,Jackie Venson,"Aug 19th, 2020",https://www.facebook.com/jackievenson/,"Rock, Synth Pop, Soul-blues, Blues-rock",Twitch,https://photos.bandsintown.com/thumb/9833892.jpeg
Bandsintown Live Outskirts Discovery,The Big Takeover,"Aug 19th, 2020",https://www.facebook.com/bigtakeoverband/,"Soul, Rocksteady, Ska, Reggae, Jam Bands",Twitch,https://photos.bandsintown.com/thumb/8955248.jpeg
Bandsintown - Outskirts Livestream,The Big Takeover,"Aug 19th, 2020",https://www.facebook.com/bigtakeoverband/,"Soul, Rocksteady, Ska, Reggae, Jam Bands",www.bandsintown.com,https://photos.bandsintown.com/thumb/10481854.jpeg
,Beth Lee and the Breakups,"Aug 21st, 2020",https://www.facebook.com/BethLeeandtheBreakups/,,Facebook,https://photos.bandsintown.com/thumb/10221559.jpeg
,David Doucet,"Aug 14th, 2020",https://www.facebook.com/DavidDoucetMusician/,,Facebook,https://photos.bandsintown.com/thumb/8952551.jpeg
"#DailyDash Live Stream @ Facebook, Instagram, Twitch, VK, YouTube & Mixcloud",Dash Berlin,"Aug 18th, 2020",https://www.facebook.com/DashBerlinOfficial1/,Music,Facebook,https://photos.bandsintown.com/thumb/10432132.jpeg
Album Release Live Stream (& Beer),Auvic,"Aug 16th, 2020",,,Twitch,https://photos.bandsintown.com/thumb/10469138.jpeg
Boston Center for Arts Lunchtime Listening Sessions: Red Shaydez,Red Shaydez,"Aug 19th, 2020",https://www.facebook.com/RedShaydez1/,"Hip Hop, Alternative Hop, Edm, Rap",Facebook,https://photos.bandsintown.com/thumb/10394761.jpeg
,Jackie Venson,"Aug 15th, 2020",https://www.facebook.com/jackievenson/,"Rock, Synth Pop, Soul-blues, Blues-rock",Twitch,https://photos.bandsintown.com/thumb/9833892.jpeg
,Cordovas,"Aug 15th, 2020",https://www.facebook.com/cordovasband/,,Facebook,https://photos.bandsintown.com/thumb/10475691.jpeg
,Spells and Curses,"Aug 15th, 2020",https://www.facebook.com/spellsandcurses/,"Alternative R&b, Alternative, Dark Ambient, Electronic Rock, Alternative Metal, Alternative Rock, Electronic, R&b, Soul",YouTube,https://photos.bandsintown.com/thumb/10438943.jpeg
8 Ball Aitken Rockin' Online,8 Ball Aitken,"Aug 15th, 2020",https://www.facebook.com/8ballaitkenmusic/,Swamp Blues,Facebook,https://photos.bandsintown.com/thumb/8734612.jpeg
,Big Sam's Funky Nation,"Aug 14th, 2020",https://www.facebook.com/bigsamsfunkynation/,Noladelic Powerfunk,www.jambase.com,https://photos.bandsintown.com/thumb/9702965.jpeg
Michael Brun presents BAYO [Chicago],Michael Brun,"Aug 14th, 2020",https://facebook.com/officialmichaelbrun,Electronic,michaelbrun.tixr.com,https://photos.bandsintown.com/thumb/10472469.jpeg
Music Lives On,IV Jay,"Aug 14th, 2020",https://www.facebook.com/official.iv.jay/,,www.livexlive.com,https://photos.bandsintown.com/thumb/8983569.jpeg
Femme It Forward Revolutionary Reads,Logan Brown,"Aug 20th, 2020",https://www.facebook.com/NUBBSYWUBBSY/,,revolutionaryreads.com,https://photos.bandsintown.com/thumb/8422347.jpeg
An Online Concert from the Quiet Room,Jay Ungar & Molly Mason,"Aug 19th, 2020",https://www.facebook.com/jayandmolly/,"Country, Folk, Swing, Appalachian, Americana",Facebook,https://photos.bandsintown.com/thumb/10407946.jpeg
,Maria Moon,"Aug 18th, 2020",https://www.facebook.com/MariaMoonViolin/,"Keyboardist, Classical, Covers, Electric Violin, Film Music, Violinist, Cover Band, Violin Live Music, Rock Violinist, Video Game Music",trovo.live,https://photos.bandsintown.com/thumb/9032628.jpeg
Faeland Live,Faeland,"Aug 19th, 2020",https://www.facebook.com/faelandmusic/,"Folk, Indie Folk, Acoustic, Pop",Facebook,https://photos.bandsintown.com/thumb/10023672.jpeg
"SOLD OUT!!!! NPR Virtual House Concert, 8/17/2020",National Park Radio,"Aug 17th, 2020",https://www.facebook.com/NationalParkRadio/,"Americana, Folk, Bluegrass",nationalparkradio.com,https://photos.bandsintown.com/thumb/9888848.jpeg
The Creekside Music Hall Show Brunch on DHLTV ,Scott Guberman,"Aug 15th, 2020",https://www.facebook.com/ScottGubermanMusic/,"Rock & Beyond., Rock, Psychedelic Rock",Facebook,https://photos.bandsintown.com/thumb/8809008.jpeg
"JES ""Unleash The Beat"" Mixshow 406 LIVE",JES,"Aug 16th, 2020",https://www.facebook.com/JESofficial/,"Dance -, Dance-pop, Rock, Singer & Songwriter, Club Dj, Progressive Trance, Electro Pop, Songwriter, Edm, Electronica......, Progressive House, Pop, Acoustic",jes.streamlink.to,https://photos.bandsintown.com/thumb/8351603.jpeg
The 59th Annual Philadelphia Folk Fest,Corner Boy,"Aug 15th, 2020",https://facebook.com/cornerboymusic,Folk Rock,folkfest.org,https://photos.bandsintown.com/thumb/9889896.jpeg
,Vilray,"Aug 16th, 2020",https://www.facebook.com/vilraysings/,"Rockabilly, Jazz, Swing, Crooner, Trad Jazz, Western Swing, Blues",www.eventbrite.com,https://photos.bandsintown.com/thumb/9239625.jpeg
Philadelphia Folk Festival ,Goldenoak,"Aug 15th, 2020",https://www.facebook.com/goldenoakband/,"Soul, Indie, Folk, Indie Folk",folkfest.org,https://photos.bandsintown.com/thumb/9046398.jpeg
,Brenda Nicole Moorer,"Aug 15th, 2020",https://www.facebook.com/brendanicolemoorerfan/,"Jazz, Soul Jazz, Soul",Dice.fm,https://photos.bandsintown.com/thumb/10464665.jpeg
,Morgan Page,"Aug 14th, 2020",https://www.facebook.com/morganpage/,,ticketmaster.evyy.net,https://photos.bandsintown.com/thumb/8592298.jpeg
International Book Fair in Panama: The History of Hip-Hop,Wordsmith,"Aug 14th, 2020",https://www.facebook.com/wordsmith/,"Rap, Underground Rap, Hip Hop, Pop-rap",us02web.zoom.us,https://photos.bandsintown.com/thumb/10480420.jpeg
Rinaly pres. Room 138,Rinaly,"Aug 15th, 2020",https://www.facebook.com/Rinalymusic,Trance,Twitch,https://photos.bandsintown.com/thumb/9178985.jpeg
,Cordovas,"Aug 14th, 2020",https://www.facebook.com/cordovasband/,,Facebook,https://photos.bandsintown.com/thumb/10475691.jpeg
,BIG Something,"Aug 16th, 2020",https://www.facebook.com/theBIGsomething/,"Rock, Progressive Rock",www.jambase.com,https://photos.bandsintown.com/thumb/8671275.jpeg
the sweet side show ep. 13 - live stream,Raquel Rodriguez,"Aug 16th, 2020",https://facebook.com/rqlrod,"Soul, Rnb, Pop, Synths, Funk",YouTube,https://photos.bandsintown.com/thumb/10432182.jpeg
Chuck Brodsky Weekly Sunday Live Stream #12,Chuck Brodsky,"Aug 16th, 2020",https://www.facebook.com/chuckbrodsky/,"Storyteller, Folk, Singer-songwriter, Troubadour, Americana",YouTube,https://photos.bandsintown.com/thumb/8548492.jpeg
A Sunday with Clinton Fearon #10,Clinton Fearon,"Aug 16th, 2020",https://www.facebook.com/ClintonFearonMusic/,"Roots Reggae, Acoustic Reggae, Poetry..., Dub, Jamaican Blues",Facebook,https://photos.bandsintown.com/thumb/10474514.jpeg
Kate MacLeod - Sing Your Heart Out Online Sing-In,Kate MacLeod,"Aug 16th, 2020",,Americana,YouTube,https://photos.bandsintown.com/thumb/10458613.jpeg
,Patchouli,"Aug 15th, 2020",https://www.facebook.com/Patchoulimusic/,"Folk Pop, Folk, Folk Rock",Facebook,https://photos.bandsintown.com/thumb/8980587.jpeg
FLAVS ID (with Bakucakar),Teddy Adhitya,"Aug 15th, 2020",https://www.facebook.com/teddyadhityamusic/,,flavs.id,https://photos.bandsintown.com/thumb/9134010.jpeg
,Everyone Orchestra,"Aug 14th, 2020",https://www.facebook.com/everyoneorchestra/,"Funk, Jam Bands, Jam Rock, Improvisation",YouTube,https://photos.bandsintown.com/thumb/9782624.jpeg
ESPECIAL desde el Estudio (Bs As) LIVESTREAM SHOW,Cata Raybaud,"Aug 15th, 2020",https://www.facebook.com/cataraybaudmusica/,"World Fusion, Folklore, Latin, Folk, Pop",www.cataraybaud.com,https://photos.bandsintown.com/thumb/10455584.jpeg
Philadelphia Folk Fest: Shane Hennessy (Camp Stage),Shane Hennessy,"Aug 15th, 2020",https://www.facebook.com/ShaneHennessyMusic/,"Modern Composition, Guitar Virtuoso, Ethnic Fusion, Acoustic, Jazz Blues, Irish, Bluegrass",folkfest.org,https://photos.bandsintown.com/thumb/8596074.jpeg
The Mike Massé Show: Live Streaming Epic Acoustic Classic Rock,Mike Masse,"Aug 14th, 2020",https://www.facebook.com/mikemassedotcom/,"Acoustic Rock, Acoustic Guitar And Vocal Classic Rock, Classic Rock",YouTube,https://photos.bandsintown.com/thumb/10310586.jpeg
Strings Attached at Home Weekly Livestream,Strings Attached,"Aug 18th, 2020",https://www.facebook.com/StringsAttached/,"Jazz, Rock, Classic Rock, Folk",live.stringsattached.org,https://photos.bandsintown.com/thumb/8529547.jpeg
LP Giobbi’s Chicago House Set,LP Giobbi,"Aug 14th, 2020",https://www.facebook.com/LPGiobbi/,"Dance Pop, Electro House, Disco, House, Electro Pop",Dice.fm,https://photos.bandsintown.com/thumb/10464260.jpeg
Michelle Lambert Live Stream!,Michelle Lambert,"Aug 16th, 2020",https://www.facebook.com/MichelleLambertMusic/,"Female Vocals, Pop, Acoustic Folk Pop",Facebook,https://photos.bandsintown.com/thumb/8758436.jpeg
Man Mountain // Post-Poned: The Livestream Series,Man Mountain,"Aug 16th, 2020",https://www.facebook.com/ManMountainMusic/,Post-rock,Facebook,https://photos.bandsintown.com/thumb/10472546.jpeg
Songbird Sundays,Marcy Grace,"Aug 16th, 2020",https://www.facebook.com/marcygracemusic/,Alt-country,Facebook,https://photos.bandsintown.com/thumb/10042845.jpeg
,Max Stalling,"Aug 19th, 2020",,"Country, Americana",Facebook,https://photos.bandsintown.com/thumb/10443355.jpeg
Willie Wisely #Livestream,Willie Wisely,"Aug 16th, 2020",https://www.facebook.com/WillieWiselyMusic/,"Power Pop, Indie Pop",YouTube,https://photos.bandsintown.com/thumb/10480746.jpeg
Lazy Ghost Live Stream,Lazy Ghost,"Aug 15th, 2020",https://www.facebook.com/lazyghostband/,Psychedelic Mood Grooves,squamishwindfestival.com,https://photos.bandsintown.com/thumb/8631239.jpeg
"Harlem After Dark, Unplugged",Allan Harris,"Aug 15th, 2020",https://www.facebook.com/TheAllanHarrisBand/,"Blues, Rnb-soul, R&b/soul, Folk, Americana, Soul, Jazz",Facebook,https://photos.bandsintown.com/thumb/8000828.jpeg
The 59th Annual Philadelphia Folk Fest,Alfa Rococo,"Aug 14th, 2020",https://www.facebook.com/alfarococo/,"French Chanson, Pop, Electro Pop",folkfest.org,https://photos.bandsintown.com/thumb/9011115.jpeg
Bandsintown Live Outskirts Rewind,Hamish Anderson,"Aug 14th, 2020",https://www.facebook.com/hamishandersonmusic/,"Blues Rock, Blues-rock, Folk Rock, Blues",Twitch,https://photos.bandsintown.com/thumb/8514261.jpeg
Home Concert Series #41,Rory Block,"Aug 18th, 2020",https://www.facebook.com/roryblockblues/,Blues,Facebook,https://photos.bandsintown.com/thumb/7263745.jpeg
A - Gathering,Adrian Conner,"Aug 14th, 2020",https://www.facebook.com/AdrianConnerSpazKitty,"Pop-metal, Rock, Darkwave",Facebook,https://photos.bandsintown.com/thumb/10369236.jpeg
,Robin Pecknold,"Aug 14th, 2020",,,ticketmaster.evyy.net,https://assets.bandsintown.com/images/fallbackImage.png
Philadelphia Folk Festival,Rachael Sage,"Aug 14th, 2020",https://facebook.com/rachaelsagepage,"Indie Folk, Folk, Pop",folkfest.org,https://photos.bandsintown.com/thumb/9477222.jpeg
VWB Presents: SINE Debut Live Stream Event,SINE,"Aug 14th, 2020",https://www.facebook.com/alovesine/,Electronic,YouTube,https://photos.bandsintown.com/thumb/10435831.jpeg
Couch Concert: Couch Never Dies,Jocelyn & Chris Arndt,"Aug 14th, 2020",https://www.facebook.com/JocelynandChris/,Rock,Facebook,https://photos.bandsintown.com/thumb/8438890.jpeg
Happy Hour with Heather and Guest,K Prouty,"Aug 15th, 2020",https://www.facebook.com/kproutymusic/,"Metal, Prog Metal, Prog-rock, Progressive Alternative, Instrumental",Facebook,https://photos.bandsintown.com/thumb/10456219.jpeg
Trevor Gordon Hall Live (Stream) at Sellersville Theater!!!,Trevor Gordon Hall,"Aug 15th, 2020",https://www.facebook.com/trevorgordonhall/,"Classical, Windham Hill, Folk Jazz, Jazz, World Fusion, Classical & Jazz, Guitar Virtuoso, Leo Kottke, Solo Instrumental, Solo Musician, Fingerstyle Guitar, Acoustic, Live Music And Entertainment, Instrumental, Finger-picked Guitar, Melodic Folk, Fingerstyle",Facebook,https://photos.bandsintown.com/thumb/9166313.jpeg
,Orrin Evans,"Aug 16th, 2020",https://www.facebook.com/peeano88/,Jazz,Facebook,https://photos.bandsintown.com/thumb/10428525.jpeg
Sean Chambers Live Stream Jam!,Sean Chambers,"Aug 15th, 2020",https://www.facebook.com/seanchambersmusic/,,Facebook,https://photos.bandsintown.com/thumb/8856504.jpeg
Tina Schlieske and the Graceland Exiles w Sister Laura,Tina Schlieske,"Aug 16th, 2020",https://www.facebook.com/TinaSchlieske/,,Facebook,https://photos.bandsintown.com/thumb/10473816.jpeg
Music Lives On,Kara Marni,"Aug 14th, 2020",https://www.facebook.com/KaraMarni/,,www.livexlive.com,https://photos.bandsintown.com/thumb/9084477.jpeg
iTA Studio Streams IN THE STUDIO,Jeff Coffin,"Aug 14th, 2020",https://www.facebook.com/jeffcoffinmusic/,"Music, Jazz",Facebook,https://photos.bandsintown.com/thumb/8425669.jpeg
MIREI TV ,MIREI,"Aug 14th, 2020",https://www.facebook.com/MIREInyc/,"Future Bass, Pop Electronic",Instagram,https://photos.bandsintown.com/thumb/10454712.jpeg
Fairfax County Park Authority presents Alice Howe w/ Freebo,Alice Howe,"Aug 14th, 2020",https://facebook.com/alicehowemusic,"Blues, Americana, Folk",Facebook,https://photos.bandsintown.com/thumb/9118397.jpeg
ACWNN LIVE! Episode 22,Argyle Goolsby,"Aug 24th, 2020",https://www.facebook.com/argylegoolsby/,Horrordeathrockandroll,Instagram,https://photos.bandsintown.com/thumb/8328232.jpeg
Szlachetka Live From The Chalkboard Episode 22:  Neil Young!!!,SZLACHETKA,"Aug 14th, 2020",https://www.facebook.com/szlachetkamusic/,"Americana, Rock And Roll- Americana, Indie Rock, Folk Rock",Facebook,https://photos.bandsintown.com/thumb/10480670.jpeg
Queen City Shout,The Creek Rocks,"Aug 23rd, 2020",https://www.facebook.com/thecreekrocks/,Ozarks Music.,Facebook,https://photos.bandsintown.com/thumb/8027715.jpeg
,Adam Hawley,"Aug 17th, 2020",https://www.facebook.com/adamhawleymusic/,"Smooth Jazz, Jazz",Facebook,https://photos.bandsintown.com/thumb/8754498.jpeg
Virtual Nelsonville Music Festival 2020 ,Angela Perley,"Aug 22nd, 2020",https://www.facebook.com/angelaperley/,"Alternative Country, Alternative Country-rock, Rock & Roll, Americana, Indie Pop, Alt-country",nelsonvillefest.org,https://photos.bandsintown.com/thumb/10464640.jpeg
,Alexander 23,"Aug 23rd, 2020",https://www.facebook.com/alexander23lol/,,ticketmaster.evyy.net,https://photos.bandsintown.com/thumb/9057413.jpeg
UnCabaret Zoom Edition #11,UNCABARET,"Aug 23rd, 2020",https://www.facebook.com/uncabaret,"Cabaret, Female Fronted, Storytelling., Alternative, Female Producer, Comedy, Storytelling, Lgbtqi, Spoken Comedy, Funny, Theater, Lgbtq, Spoken Word",us02web.zoom.us,https://photos.bandsintown.com/thumb/8394124.jpeg
Queen City Shout Virtual Festival,Jodee Lewis,"Aug 22nd, 2020",https://www.facebook.com/jodeelewis,"Country, Americana",Facebook,https://photos.bandsintown.com/thumb/8583774.jpeg
"#TheHouseTour3 - Exeter Rd. - Hampton, NH",Annie Brobst,"Aug 21st, 2020",https://www.facebook.com/anniebrobstmusic/,"Pop Country, Country, Singer/Songwriter",Facebook,https://photos.bandsintown.com/thumb/9988691.jpeg
,l3vitar,"Aug 21st, 2020",https://www.facebook.com/l3vitarband/?eid=ARA_TzsCnDrdMmpiP7TB3ezy83QBl9UAJowNkpT37zZGtuMpSfBr93s3K5lOf--37wHyZaRZ6LEWuMkd,"Punk, Dub, Reggae, Metal, Rock",YouTube,https://photos.bandsintown.com/thumb/10382467.jpeg
Songs From the Kruger Brothers Vault,Kruger Brothers,"Aug 15th, 2020",https://www.facebook.com/Kruger.Brothers/,"Classical, Folk, Americana, Bluegrass",Facebook,https://photos.bandsintown.com/thumb/10480934.jpeg
Live from the Airstream: Meet me in Joshua Tree ,Ruthie Collins,"Aug 17th, 2020",https://www.facebook.com/ruthiecollinsmusic/,"Folk, Americana, Country",tix.to,https://photos.bandsintown.com/thumb/10287414.jpeg
,The Stacy Jones Band,"Aug 14th, 2020",https://www.facebook.com/stacyjonesband/,Blues- Roots Rock-americana,YouTube,https://photos.bandsintown.com/thumb/8739047.jpeg
Music Lives On,ROZES,"Aug 14th, 2020",https://www.facebook.com/ROZESsounds/,"Electronic, Pop, Alternative Pop Rock",www.livexlive.com,https://photos.bandsintown.com/thumb/7545195.jpeg
Ray's Summer Sundays Social Series,The Meadows Brothers,"Aug 16th, 2020",https://www.facebook.com/TheMeadowsBrothers/,"Folk, Roots, Americana",Facebook,https://photos.bandsintown.com/thumb/8304472.jpeg
Social Distance Happy Hour (SATURDAY EDITION),Anthony D'Amato,"Aug 15th, 2020",https://facebook.com/anthonydamatomusic,"Acoustic, Rock, Indie, Americana, Folk",Facebook,https://photos.bandsintown.com/thumb/9501754.jpeg
THE WRECKS Live At The Shag Chateau - AFTER PARTY ,The Wrecks,"Aug 15th, 2020",https://www.facebook.com/WeAreTheWrecks/,Indie Rock,thewrecks.veeps.com,https://photos.bandsintown.com/thumb/9906641.jpeg
Jacob Moon Sings RUSH,Jacob Moon,"Aug 19th, 2020",https://www.facebook.com/jacobmoonmusic/,"Gospel And Worship, Roots, Rock, Progressive Folk",Facebook,https://photos.bandsintown.com/thumb/10473872.jpeg
BYGMusic Presents Leah Martin-Brown,Leah Martin-Brown,"Aug 20th, 2020",https://www.facebook.com/leahelizabethmartinbrown/,"Hard Rock, Blues, Metal, Rock And Roll",Facebook,https://photos.bandsintown.com/thumb/8293671.jpeg
ACWNN LIVE! Episode 21 ,Argyle Goolsby,"Aug 17th, 2020",https://www.facebook.com/argylegoolsby/,Horrordeathrockandroll,Instagram,https://photos.bandsintown.com/thumb/8328232.jpeg
Folk Friday Livestream,Eli Lev,"Aug 14th, 2020",https://www.facebook.com/elilevmusic/,"Folk, Acoustic, Adult Alternative, Indie Folk",Facebook,https://photos.bandsintown.com/thumb/10275008.jpeg
Tuesday's Uprooted Livestream,Michael Glabicki,"Aug 18th, 2020",https://www.facebook.com/Michael-Glabicki-155843647763122/,"Other, Rock, Solo Musician",Facebook,https://photos.bandsintown.com/thumb/8452800.jpeg
Live Stream Concert,Daring Greatly,"Aug 18th, 2020",https://www.facebook.com/daring.to.be.great/,"Heartland Rock, Roots Rock, Rock, Americana, Country Rock",www.crowdcast.io,https://photos.bandsintown.com/thumb/10476108.jpeg
,Rissi Palmer,"Aug 19th, 2020",https://www.facebook.com/RissiPalmerOfficial/,Southern Soul,YouTube,https://photos.bandsintown.com/thumb/10426875.jpeg
The Sky Is Falling Down Live Stream,Nathan Angelo,"Aug 18th, 2020",https://www.facebook.com/nathanangelo/,"Soul, Pop Rock, Piano-pop, Piano Blues",Facebook,https://photos.bandsintown.com/thumb/8903448.jpeg
The 59th Annual Philadelphia Folk Fest,Siobhan Miller,"Aug 16th, 2020",https://www.facebook.com/SiobhanMillerMusic/,"Acousic, Folk, Tradicional..., Scottish Folk, Songwriter",folkfest.org,https://photos.bandsintown.com/thumb/8806684.jpeg
"The Kennedys Weekly, Uplifting, All-Request Livestream",The Kennedys,"Aug 16th, 2020",https://www.facebook.com/The.Kennedys.Fan/,"Folk Rock, Americana",YouTube,https://photos.bandsintown.com/thumb/8910290.jpeg
Royal Albert Home,Roberto Fonseca,"Aug 16th, 2020",https://www.facebook.com/RobertoFonsecaOfficial/,Latin Jazz,Ents24,https://photos.bandsintown.com/thumb/10074193.jpeg
,The Gold Souls,"Aug 15th, 2020",https://www.facebook.com/thegoldsoulsband/,"Soul, Jazz, Funk, Blues",bit.ly,https://photos.bandsintown.com/thumb/10147438.jpeg
Jump In - Single release party,Roxanne Potvin,"Aug 15th, 2020",https://www.facebook.com/roxannepotvinmusic/,,sidedooraccess.com,https://photos.bandsintown.com/thumb/10472408.jpeg
Quarantini Happy Hour - Live Piano Lesson,Jon Cleary,"Aug 15th, 2020",https://www.facebook.com/jonclearymusicofficial/,"New Orleans Funk And Groove, New Orleans Piano, Funk",YouTube,https://photos.bandsintown.com/thumb/10479609.jpeg
Bob Livingston Reality Ranch Facebook Livestream 7/14 7PM CDT,Bob Livingston Music,"Aug 14th, 2020",https://www.Facebook.com/BobLivingston,"Americana, Folk, Rock, Country",Facebook,https://photos.bandsintown.com/thumb/10480124.jpeg
Home Concert Series #40,Rory Block,"Aug 14th, 2020",https://www.facebook.com/roryblockblues/,Blues,Facebook,https://photos.bandsintown.com/thumb/7263745.jpeg
Cosmic Creatures Virtual Livestream,The SoapGirls,"Aug 14th, 2020",https://www.facebook.com/TheSoapGirls/,Revolt Rock,Facebook,https://photos.bandsintown.com/thumb/8607275.jpeg
SATURDAY-NITE-ChitChat with Freekbass,Freekbass,"Aug 15th, 2020",https://www.facebook.com/freekbassmusic/,"Funky Breaks, Funk, Bass, Jam Bands, Bass Music",Facebook,https://photos.bandsintown.com/thumb/10482171.jpeg
The 59th Annual Philadelphia Folk Fest,Moxie,"Aug 15th, 2020",https://www.facebook.com/Moxiemuso/,"Folk, Instrumental, Rock    Alternative, Jazz, Irish, Funk, Neo Irish",folkfest.org,https://photos.bandsintown.com/thumb/10096896.jpeg
The 59th Annual Philadelphia Folk Fest,Daoirí Farrell,"Aug 15th, 2020",https://www.facebook.com/DaoiriFarrell/,"Traditional Folk, Solo Musician, Irish Folk, Folk",folkfest.org,https://photos.bandsintown.com/thumb/10430370.jpeg
Stream Fest - Facebook Live!,April Kry,"Aug 23rd, 2020",https://www.facebook.com/aprilkry/,"Soul, Country, Pop",Facebook,https://photos.bandsintown.com/thumb/10460546.jpeg
Lazer Lloyd Live Sundays,Lazer.Lloyd,"Aug 16th, 2020",https://www.facebook.com/lazerlloyd/,"Instrumental Guitar, Blues-rock, Contemporary Folk, Southern Rock, Americana, Folk Rock, Texas Country, Acoustic, Outlaw Country, Acoustic Blues",lazerlloyd.live,https://photos.bandsintown.com/thumb/9887560.jpeg
Barbara Nesbitt Livestream,Barbara Nesbitt,"Aug 14th, 2020",https://www.facebook.com/Barbara-Nesbitt-216713495045631/,Americana,Facebook,https://photos.bandsintown.com/thumb/8317356.jpeg
Bandsintown Live All The Vibes,Autograf,"Aug 20th, 2020",https://www.facebook.com/AutografOfficial/,"Deep & Tropical House, Edm & House Music, Live Electronic, Deep House, House & Deep House, Dance Edm, Live Electronica, Edm",Twitch,https://photos.bandsintown.com/thumb/9011404.jpeg
National Sawdust: Digital Discovery Festival,Thana Alexa,"Aug 20th, 2020",https://www.facebook.com/ThanaAlexaMusic/,,live.nationalsawdust.org,https://photos.bandsintown.com/thumb/9098595.jpeg
,Tres Leches,"Aug 14th, 2020",https://www.facebook.com/pg/treslechesband,"Dark Basement, Distortion Pop, Punk, Art Punk",Facebook,https://photos.bandsintown.com/thumb/9799679.jpeg
Fast Times ROX Your Web,Fast Times,"Aug 21st, 2020",https://facebook.com/fasttimeskc,"80s, Tribute Band, Dance Bands, Retro-rock",Facebook,https://photos.bandsintown.com/thumb/9916231.jpeg
Grand Music Live presents The Western Swing Authority,The Western Swing Authority,"Aug 18th, 2020",https://www.facebook.com/westernswingauthority/,"Western Swing, Country Boogie, Country, Jazz Blues, Country Blues, Swing",grandmusiclive.com,https://photos.bandsintown.com/thumb/8915140.jpeg
Patreon Weekly Cocktail Party,Della Mae,"Aug 19th, 2020",https://www.facebook.com/heyheydellamae/,"Country, Bluegrass",www.patreon.com,https://photos.bandsintown.com/thumb/9701893.jpeg
"SOLD OUT!!! NPR Virtual House Concert, 8/16/2020",National Park Radio,"Aug 16th, 2020",https://www.facebook.com/NationalParkRadio/,"Americana, Folk, Bluegrass",www.nationalparkradio.com,https://photos.bandsintown.com/thumb/9888848.jpeg
Hussy Hicks album launch on Desert TV,Hussy Hicks,"Aug 20th, 2020",https://www.facebook.com/hussyhicks/,Blues & Roots,www.mosdesertclubhouse.com,https://photos.bandsintown.com/thumb/8744812.jpeg
BMF Discover Presents: Jaimee Harris,Jaimee Harris,"Aug 16th, 2020",https://www.facebook.com/jaimeeharrisofficial/,"Folk-rock, Folk, Americana",bmfdiscover.com,https://photos.bandsintown.com/thumb/8833323.jpeg
,The Young Fables,"Aug 18th, 2020",https://www.facebook.com/theyoungfables/,Modern Traditional Country,Facebook,https://photos.bandsintown.com/thumb/8947219.jpeg
The 59th Annual Philadelphia Folk Fest,Taarka,"Aug 15th, 2020",https://www.facebook.com/taarka/,"Folk, Country, Bluegrass, Americana, Gypsyjazz, Indie Folk",folkfest.org,https://photos.bandsintown.com/thumb/7566695.jpeg
,Amythyst Kiah,"Aug 19th, 2020",https://www.facebook.com/amythystkiah,"Delta Blues, Blues, Americana, Folk, Southern Roots, Alt-country",www.greennote.co.uk,https://photos.bandsintown.com/thumb/7865936.jpeg
The 59th Annual Philadelphia Folk Fest,The Henry Girls,"Aug 15th, 2020",https://www.facebook.com/thehenrygirls/,"Roots, Folk",folkfest.org,https://photos.bandsintown.com/thumb/8442299.jpeg
,Jorma Kaukonen,"Aug 15th, 2020",,"Indie, Alternative",YouTube,https://photos.bandsintown.com/thumb/9617604.jpeg
Inspirella 2020 ,Grace Kelly,"Aug 15th, 2020",https://www.facebook.com/GraceKellymusic/,"Jazz & Electro Pop, Jazz And Beyond, Pop, Jazz, Rock, Gracified Jazz, Blues",Spirecenter.org,https://photos.bandsintown.com/thumb/10419669.jpeg
LP Giobbi’s Piano House Set,LP Giobbi,"Aug 15th, 2020",https://www.facebook.com/LPGiobbi/,"Dance Pop, Electro House, Disco, House, Electro Pop",Dice.fm,https://photos.bandsintown.com/thumb/10464268.jpeg
,Joshua Bell,"Aug 14th, 2020",,Classical,Ents24,https://photos.bandsintown.com/thumb/9619785.jpeg
Art Attack Virtual Livestream,The SoapGirls,"Aug 15th, 2020",https://www.facebook.com/TheSoapGirls/,Revolt Rock,Facebook,https://photos.bandsintown.com/thumb/8607275.jpeg
Free Acoustic Concert with CMT Artist Ashley Wineland,Ashley Wineland,"Aug 14th, 2020",https://www.facebook.com/AshleyWinelandMusic,Country,Facebook,https://photos.bandsintown.com/thumb/9120435.jpeg
"Bokanté LIVE at the SF Jazz Center, 2018",Bokanté,"Aug 14th, 2020",https://www.facebook.com/bokantemusic/,World & Chamber Music.,www.sfjazz.org,https://photos.bandsintown.com/thumb/10479350.jpeg
TEOA Livestream Concert in 360° presented by River Spirit Music,TEOA,"Aug 14th, 2020",https://www.facebook.com/theendofamericamusic/,"Indie Rock, Rock, Indie Folk, Folk, Americana",www.musae.me,https://photos.bandsintown.com/thumb/10312169.jpeg
An Evening of Folklore with Nikita Karmen,Ruthie Collins,"Aug 20th, 2020",https://www.facebook.com/ruthiecollinsmusic/,"Folk, Americana, Country",tix.to,https://photos.bandsintown.com/thumb/10287414.jpeg
